ID,Action,Source,Destination,Protocol,Port
1,permit,10.0.0.0/8,any,tcp,80
2,permit,192.168.10.0/24,any,tcp,443
3,deny,any,10.1.0.5/32,tcp,80
4,permit,10.123.45.0/24,any,tcp,443
5,deny,192.168.50.0/24,8.8.8.8,udp,53
6,permit,10.5.5.0/24,any,udp,4500
7,permit,192.168.200.5/32,any,tcp,22
8,permit,10.1.0.0/16,any,tcp,80
9,permit,192.168.77.0/24,any,tcp,22
10,deny,any,172.16.200.5/32,tcp,23
11,permit,172.16.20.10/32,192.168.50.1/32,tcp,22
12,deny,any,10.99.0.0/16,udp,53
13,permit,192.168.10.0/24,any,tcp,443
14,permit,10.10.0.0/16,any,tcp,80
15,permit,10.0.0.0/8,any,tcp,80
16,deny,192.168.200.5/32,any,tcp,22
17,deny,any,10.0.0.0/8,any,any
18,permit,172.18.1.0/24,any,tcp,139
19,permit,192.168.1.100/32,any,tcp,3389
20,deny,any,10.2.3.4/32,tcp,80
21,permit,10.0.0.0/8,any,tcp,443
22,permit,10.1.1.1/32,any,icmp,any
23,permit,192.168.100.0/24,any,tcp,8080
24,deny,any,172.16.10.10/32,tcp,80
25,permit,10.0.0.5/32,any,tcp,22
26,permit,172.20.5.0/24,172.20.10.0/24,udp,161
27,deny,10.0.5.0/24,any,udp,53
28,permit,172.20.5.0/24,172.20.10.0/24,udp,161
29,permit,172.16.20.10/32,192.168.50.1/32,tcp,22
30,permit,192.168.77.0/24,any,tcp,22
31,permit,10.5.5.0/24,any,udp,500
32,permit,192.168.50.0/24,8.8.8.8,udp,53
33,deny,192.168.100.0/24,any,tcp,8080
34,permit,172.18.1.0/24,any,tcp,445
35,permit,10.1.0.0/16,any,tcp,80
36,deny,any,10.20.30.40/32,icmp,any
37,permit,192.168.1.100/32,any,tcp,3389
38,permit,10.5.5.0/24,any,udp,4500
39,deny,10.0.5.0/24,any,udp,53
40,permit,10.10.0.0/16,any,tcp,80
41,deny,any,10.20.30.40/32,icmp,any
42,deny,any,10.99.0.0/16,udp,53
43,permit,192.168.200.5/32,any,tcp,22
44,deny,192.168.50.0/24,8.8.8.8,udp,53
45,permit,any,172.16.10.10/32,tcp,80
46,deny,any,172.16.200.5/32,tcp,23
47,permit,10.0.0.5/32,any,tcp,22
48,permit,10.123.45.0/24,any,tcp,443
49,permit,any,10.2.3.4/32,tcp,80
50,permit,10.0.0.0/8,any,tcp,443
