ID,Action,Source,Destination,Protocol,Port
1,permit,192.168.20.0/24,DATABASE,tcp,3306
2,permit,10.1.0.0/16,ANY,tcp,3389
3,deny,192.168.10.0/24,ANY,tcp,80
4,permit,172.16.5.0/24,WEB,tcp,22
5,deny,203.0.113.0/24,APP,tcp,22
6,deny,ANY,WEB,tcp,80
7,permit,192.168.1.0/24,DATABASE,tcp,21
8,permit,198.51.100.0/24,WEB,tcp,3389
9,permit,192.168.20.0/24,MAIL,tcp,80
10,deny,192.168.10.0/24,MAIL,tcp,443
11,permit,192.168.10.0/24,DMZ,tcp,110
12,permit,192.168.1.0/24,DATABASE,tcp,445
13,deny,ANY,DMZ,udp,53
14,deny,172.16.5.0/24,DNS,tcp,3389
15,deny,203.0.113.0/24,APP,tcp,23
16,permit,10.0.0.0/8,APP,tcp,3306
17,deny,172.16.0.0/16,INTERNAL,tcp,443
18,permit,198.51.100.0/24,DATABASE,tcp,110
19,deny,ANY,INTERNAL,tcp,21
20,deny,192.168.20.0/24,APP,tcp,25
21,deny,172.16.0.0/16,DNS,tcp,23
22,permit,192.168.1.0/24,DATABASE,tcp,22
23,deny,198.51.100.0/24,ANY,udp,123
24,deny,172.16.0.0/16,APP,tcp,25
25,permit,203.0.113.0/24,DNS,tcp,3306
26,permit,192.168.1.0/24,MAIL,tcp,3389
27,permit,10.1.0.0/16,MAIL,tcp,3389
28,permit,198.51.100.0/24,DATABASE,tcp,143
29,deny,192.168.10.0/24,INTERNAL,udp,53
30,deny,198.51.100.0/24,APP,tcp,3389
31,permit,10.0.0.0/8,MAIL,tcp,80
32,deny,172.16.0.0/16,DATABASE,tcp,25
33,permit,192.168.10.0/24,APP,tcp,23
34,permit,ANY,MAIL,tcp,25
35,permit,192.168.1.0/24,DMZ,tcp,445
36,deny,172.16.0.0/16,DNS,udp,161
37,permit,198.51.100.0/24,APP,tcp,8080
38,deny,192.168.1.0/24,MAIL,tcp,110
39,deny,172.16.0.0/16,INTERNAL,udp,161
40,deny,192.168.10.0/24,DNS,udp,161
41,permit,203.0.113.0/24,ANY,tcp,8080
42,deny,10.1.0.0/16,INTERNAL,udp,123
43,deny,10.1.0.0/16,WEB,udp,123
44,permit,198.51.100.0/24,WEB,tcp,80
45,permit,192.168.20.0/24,APP,tcp,110
46,permit,192.168.20.0/24,APP,tcp,3306
47,deny,ANY,ANY,tcp,3389
48,permit,10.0.0.0/8,DNS,tcp,110
49,permit,172.16.0.0/16,DATABASE,tcp,3306
50,permit,192.168.10.0/24,MAIL,tcp,443
51,deny,198.51.100.0/24,ANY,tcp,21
52,permit,ANY,APP,tcp,3306
53,permit,192.168.20.0/24,MAIL,tcp,443
54,permit,172.16.5.0/24,APP,tcp,8080
55,deny,198.51.100.0/24,DATABASE,tcp,3389
56,deny,198.51.100.0/24,INTERNAL,tcp,21
57,permit,192.168.1.0/24,DMZ,tcp,80
58,permit,ANY,DNS,tcp,3306
59,deny,10.1.0.0/16,DNS,tcp,3389
60,deny,192.168.20.0/24,DATABASE,tcp,445
61,permit,198.51.100.0/24,WEB,tcp,445
62,permit,10.0.0.0/8,ANY,udp,53
63,permit,10.1.0.0/16,DNS,udp,161
64,deny,172.16.5.0/24,DMZ,tcp,3306
65,deny,10.0.0.0/8,DATABASE,tcp,3306
66,permit,192.168.20.0/24,INTERNAL,tcp,3306
67,permit,172.16.5.0/24,INTERNAL,tcp,21
68,permit,203.0.113.0/24,MAIL,tcp,445
69,deny,172.16.0.0/16,APP,tcp,21
70,deny,192.168.20.0/24,ANY,tcp,443
71,permit,192.168.1.0/24,WEB,tcp,3306
72,permit,ANY,INTERNAL,udp,123
73,permit,172.16.5.0/24,DMZ,tcp,445
74,deny,10.1.0.0/16,DNS,tcp,3306
75,permit,ANY,WEB,tcp,445
76,permit,10.0.0.0/8,DNS,tcp,21
77,deny,10.0.0.0/8,INTERNAL,tcp,110
78,deny,ANY,APP,tcp,110
79,permit,198.51.100.0/24,WEB,tcp,23
80,deny,192.168.20.0/24,APP,tcp,110
81,permit,10.0.0.0/8,DMZ,tcp,445
82,deny,192.168.1.0/24,DATABASE,tcp,445
83,deny,192.168.10.0/24,DATABASE,tcp,25
84,deny,192.168.10.0/24,INTERNAL,tcp,25
85,permit,10.1.0.0/16,APP,tcp,445
86,deny,192.168.1.0/24,ANY,tcp,3306
87,permit,192.168.20.0/24,DATABASE,tcp,110
88,deny,192.168.20.0/24,MAIL,tcp,445
89,deny,192.168.1.0/24,DMZ,tcp,80
90,deny,192.168.1.0/24,DMZ,udp,161
91,permit,172.16.0.0/16,MAIL,tcp,445
92,permit,10.1.0.0/16,DNS,udp,123
93,deny,203.0.113.0/24,ANY,tcp,22
94,permit,203.0.113.0/24,ANY,udp,161
95,permit,ANY,DMZ,udp,53
96,deny,10.0.0.0/8,MAIL,tcp,3389
97,deny,192.168.1.0/24,ANY,tcp,25
98,deny,ANY,DNS,tcp,25
99,permit,10.1.0.0/16,ANY,tcp,3306
100,permit,10.0.0.0/8,ANY,tcp,143
101,permit,10.1.0.0/16,DMZ,udp,161
102,deny,203.0.113.0/24,ANY,tcp,21
103,deny,192.168.1.0/24,DMZ,udp,123
104,permit,192.168.10.0/24,WEB,tcp,21
105,deny,172.16.5.0/24,APP,tcp,80
106,deny,10.0.0.0/8,DNS,tcp,3306
107,permit,198.51.100.0/24,WEB,udp,161
108,permit,172.16.5.0/24,APP,udp,123
109,permit,203.0.113.0/24,DATABASE,tcp,8080
110,permit,198.51.100.0/24,WEB,tcp,21
111,deny,10.0.0.0/8,INTERNAL,udp,161
112,permit,10.1.0.0/16,INTERNAL,tcp,110
113,permit,192.168.10.0/24,MAIL,tcp,8080
114,deny,10.0.0.0/8,DNS,tcp,80
115,permit,192.168.10.0/24,DMZ,udp,123
116,permit,192.168.10.0/24,MAIL,tcp,110
117,permit,198.51.100.0/24,ANY,tcp,445
118,deny,172.16.0.0/16,DATABASE,tcp,3389
119,deny,10.0.0.0/8,MAIL,tcp,21
120,permit,192.168.20.0/24,MAIL,tcp,25
121,deny,198.51.100.0/24,WEB,tcp,21
122,permit,172.16.5.0/24,APP,tcp,443
123,deny,198.51.100.0/24,DNS,tcp,110
124,permit,172.16.5.0/24,MAIL,tcp,443
125,permit,172.16.5.0/24,DMZ,tcp,8080
126,deny,192.168.20.0/24,DNS,tcp,80
127,deny,172.16.5.0/24,ANY,tcp,21
128,deny,203.0.113.0/24,INTERNAL,tcp,21
129,deny,172.16.0.0/16,DATABASE,tcp,443
130,deny,203.0.113.0/24,MAIL,tcp,143
131,permit,192.168.1.0/24,WEB,tcp,80
132,deny,10.0.0.0/8,DATABASE,tcp,143
133,permit,192.168.20.0/24,DMZ,tcp,8080
134,deny,172.16.5.0/24,MAIL,udp,161
135,permit,203.0.113.0/24,DMZ,tcp,8080
136,permit,ANY,DATABASE,tcp,3306
137,permit,203.0.113.0/24,WEB,tcp,25
138,deny,10.0.0.0/8,APP,tcp,22
139,deny,10.0.0.0/8,WEB,tcp,445
140,permit,203.0.113.0/24,APP,tcp,143
141,deny,172.16.5.0/24,WEB,tcp,3389
142,deny,172.16.5.0/24,ANY,tcp,143
143,permit,10.0.0.0/8,APP,tcp,21
144,permit,203.0.113.0/24,DNS,tcp,25
145,deny,172.16.5.0/24,WEB,tcp,443
146,permit,198.51.100.0/24,ANY,tcp,80
147,permit,192.168.1.0/24,WEB,tcp,445
148,permit,192.168.1.0/24,INTERNAL,udp,161
149,permit,172.16.5.0/24,INTERNAL,tcp,110
150,permit,192.168.20.0/24,WEB,tcp,443
151,deny,198.51.100.0/24,DATABASE,udp,53
152,permit,10.0.0.0/8,DATABASE,tcp,110
153,permit,192.168.20.0/24,WEB,udp,123
154,deny,203.0.113.0/24,APP,tcp,110
155,deny,ANY,WEB,tcp,8080
156,deny,10.0.0.0/8,MAIL,tcp,25
157,deny,192.168.10.0/24,DMZ,tcp,23
158,deny,172.16.0.0/16,DATABASE,udp,123
159,permit,172.16.0.0/16,DNS,udp,161
160,permit,10.1.0.0/16,ANY,udp,161
161,permit,ANY,INTERNAL,tcp,110
162,deny,ANY,DATABASE,tcp,8080
163,permit,ANY,APP,tcp,25
164,permit,192.168.1.0/24,INTERNAL,tcp,23
165,deny,192.168.1.0/24,INTERNAL,tcp,3306
166,permit,172.16.5.0/24,DATABASE,tcp,445
167,permit,203.0.113.0/24,INTERNAL,tcp,110
168,permit,192.168.20.0/24,ANY,tcp,80
169,deny,10.1.0.0/16,WEB,tcp,23
170,deny,ANY,DNS,tcp,3306
171,deny,192.168.1.0/24,INTERNAL,udp,53
172,deny,ANY,DATABASE,tcp,445
173,permit,198.51.100.0/24,INTERNAL,tcp,22
174,permit,10.0.0.0/8,ANY,tcp,3306
175,permit,203.0.113.0/24,APP,tcp,445
176,permit,172.16.0.0/16,ANY,tcp,22
177,deny,10.0.0.0/8,INTERNAL,tcp,22
178,permit,203.0.113.0/24,ANY,tcp,110
179,permit,172.16.0.0/16,INTERNAL,tcp,25
180,deny,10.1.0.0/16,ANY,tcp,445
181,permit,192.168.1.0/24,APP,tcp,22
182,deny,10.0.0.0/8,DMZ,tcp,445
183,permit,172.16.0.0/16,INTERNAL,tcp,22
184,permit,192.168.20.0/24,DATABASE,tcp,443
185,deny,172.16.5.0/24,ANY,tcp,25
186,permit,192.168.1.0/24,WEB,udp,123
187,permit,192.168.1.0/24,DMZ,tcp,143
188,deny,198.51.100.0/24,DMZ,tcp,22
189,deny,192.168.1.0/24,INTERNAL,tcp,21
190,deny,172.16.5.0/24,DMZ,tcp,443
191,deny,198.51.100.0/24,DNS,tcp,445
192,deny,203.0.113.0/24,ANY,tcp,110
193,deny,203.0.113.0/24,WEB,tcp,3306
194,deny,172.16.0.0/16,DATABASE,tcp,110
195,deny,192.168.20.0/24,INTERNAL,tcp,3389
196,permit,203.0.113.0/24,DATABASE,tcp,23
197,permit,172.16.0.0/16,ANY,tcp,143
198,deny,10.0.0.0/8,WEB,udp,123
199,permit,198.51.100.0/24,DATABASE,udp,123
200,permit,192.168.20.0/24,APP,tcp,80
201,deny,172.16.5.0/24,DATABASE,udp,53
202,deny,172.16.0.0/16,DNS,tcp,3306
